Institute Name,Institute Code,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank,Year,Institution Name,Institution Code,OE,Predicted_Rank
Indian Institute of Technology (Indian School of Mines) Dhanbad,IR-O-U-0205,14.65,17.7,11.83,10.54,22.26,23.04,1.5,4.18,58.64,17.36,22.03,6.23,5.16,6.0,25.54,25.0,2019,,,0.0,24.99854
Indian Institute of Management Calcutta,IR-O-S-8972,6.83,29.79,18.39,23.79,4.98,4.86,0.0,7.28,60.0,2.55,25.04,22.58,0.0,20.0,46.34,26.0,2019,,,0.0,26.011171
Institute of Chemical Technology,IR-O-U-0308,8.26,20.6,13.75,12.01,19.36,19.69,7.0,2.36,55.92,16.69,3.33,24.55,3.61,20.0,20.28,27.0,2019,,,0.0,26.95447
Indian Institute of Technology (Banaras Hindu University) Varanasi,IR-O-U-0701,13.73,22.03,13.96,12.37,17.96,18.85,1.0,1.64,57.11,11.21,18.23,8.63,7.62,20.0,29.2,28.0,2019,,,0.0,27.986605
Andhra University,IR-O-U-0006,14.97,25.86,16.36,12.18,10.0,8.94,0.0,4.23,60.0,26.61,2.6,29.08,4.06,20.0,14.55,29.0,2019,,,0.0,29.01162
Homi Bhabha National Institute,IR-O-U-0304,8.97,30.0,17.44,26.84,9.1,12.67,0.0,3.48,44.16,27.02,11.44,20.85,0.0,15.0,4.33,30.0,2019,,,0.0,30.003769
Jamia Hamdard,IR-O-U-0107,12.21,30.0,16.78,10.65,12.11,13.46,3.0,1.35,60.0,14.12,15.44,29.26,0.82,18.0,6.86,31.0,2019,,,0.0,31.049683
Vellore Institute of Technology,IR-O-U-0490,15.27,16.91,10.16,6.36,21.8,24.0,1.0,0.83,48.88,17.67,16.56,20.32,0.13,20.0,35.31,32.0,2019,,,0.0,31.952782
University of Madras,IR-O-I-1357,10.39,27.07,17.91,8.92,15.01,15.35,2.0,0.91,42.74,25.51,5.25,28.93,0.0,20.0,30.01,33.0,2019,,,0.0,32.983143
Panjab University,IR-O-U-0078,16.08,16.4,10.36,8.18,15.78,22.52,5.0,1.52,42.49,30.01,12.15,25.19,0.54,15.0,27.09,34.0,2019,,,0.0,34.004597
Kerala University,IR-O-U-0260,8.56,30.0,17.18,19.06,8.72,9.04,0.5,0.58,60.0,25.7,1.2,30.0,0.0,20.0,8.59,35.0,2019,,,0.0,34.993458
Indian Institute of Engineering Science and Technology,IR-O-U-0584,10.93,26.4,15.31,10.34,18.64,15.93,1.0,1.17,53.29,13.18,9.86,14.38,2.95,20.0,30.41,36.0,2019,,,0.0,35.986343
Indian Institute of Science Education & Research Bhopal,IR-O-U-0272,7.75,30.0,15.67,15.39,13.79,16.31,0.5,0.9,59.39,6.53,24.62,20.1,3.49,20.0,7.91,37.0,2019,,,0.0,37.00124
National Institute of Technology Rourkela,IR-O-U-0357,12.99,19.29,13.13,8.82,21.48,21.77,1.0,1.4,52.66,16.03,14.66,11.52,1.79,18.0,24.4,38.0,2019,,,0.0,38.003
Birla Institute of Technology & Science,IR-O-U-0391,14.37,19.04,12.49,10.77,15.2,17.03,1.0,0.92,60.0,13.06,19.4,14.86,0.0,18.0,34.41,39.0,2019,,,0.0,38.98709
Indian Institute of Science Education & Research Kolkata,IR-O-U-0572,7.53,30.0,16.84,15.62,19.05,21.46,0.0,0.7,37.07,8.02,16.76,17.19,1.74,20.0,24.86,40.0,2019,,,0.0,39.998096
Siksha “O° Anusandhan,IR-O-U-0363,14.59,30.0,17.02,11.35,9.0,10.04,1.0,1.13,60.0,9.84,12.41,28.35,0.28,20.0,20.02,41.0,2019,,,0.0,41.0141
King George's Medical University,IR-O-U-0523,6.95,30.0,19.27,23.6,12.2,12.59,0.0,1.07,56.23,5.16,3.44,26.85,3.09,20.0,5.8,42.0,2019,,,0.0,42.01273
Osmania University,IR-O-U-0027,16.0,20.56,12.44,9.2,11.73,11.7,0.0,1.52,60.0,32.09,5.71,25.83,4.14,20.0,9.26,43.0,2019,,,0.0,42.99185
Indian Institute of Technology Mandi,IR-O-U-0184,7.42,27.59,16.8,15.81,14.29,18.1,0.5,0.46,60.0,4.56,21.9,18.27,5.51,20.0,11.2,44.0,2019,,,0.0,44.004913
Thapar Institute of Engineering and Technology (Deemed-to-be-university),IR-O-I-1480,13.58,25.41,14.95,8.18,16.51,17.37,1.5,0.92,59.02,6.29,14.24,21.68,0.65,20.0,10.24,45.0,2019,,,0.0,44.997913
Indian Institute of Technology Bhubaneswar,IR-O-U-0355,6.22,27.22,16.36,14.84,15.56,15.47,1.0,0.88,53.02,2.55,21.96,11.43,4.22,20.0,25.99,46.0,2019,,,0.0,46.009396
Alagappa University,IR-O-U-0435,10.63,30.0,17.13,8.96,8.69,12.2,0.5,0.79,60.0,1.17,0.36,30.0,1.39,18.0,26.65,47.0,2019,,,0.0,47.021244
Tezpur University,IR-O-U-0056,9.95,29.49,17.79,9.69,13.72,14.37,1.0,1.02,54.28,9.19,3.57,25.61,1.82,20.0,15.71,48.0,2019,,,0.0,48.00827
Mahatma Gandhi University,IR-O-U-0262,7.28,24.26,14.18,20.78,12.99,12.55,0.5,0.93,60.0,12.39,0.12,30.0,1.86,20.0,3.58,49.0,2019,,,0.0,49.023514
Kalinga Institute of Industrial Technology,IR-O-U-0356,19.0,24.34,14.26,8.41,6.62,8.67,0.5,2.31,60.0,11.7,19.22,27.47,2.68,20.0,14.55,50.0,2019,,,0.0,49.98767
Indian Institute of Technology Gandhinagar,IR-O-U-0139,6.92,23.23,14.82,16.99,13.67,16.01,0.5,1.26,51.6,4.62,20.24,16.16,5.2,20.0,24.17,51.0,2019,,,0.0,51.009716
SRM Institute of Science and Technology,IR-O-U-0473,16.33,21.95,10.5,7.9,9.97,13.02,2.0,1.52,60.0,18.07,16.23,21.61,0.25,20.0,14.26,52.0,2019,,,0.0,51.996864
National Institute of Technology Karnataka,IR-O-U-0237,13.29,17.91,12.14,7.98,15.79,14.35,0.5,1.64,60.0,11.35,16.06,12.28,2.55,20.0,29.4,53.0,2019,,,0.0,53.03492
Sri Ramachandra Institute of Higher Education and Research,IR-O-I-1486,13.49,30.0,18.19,12.16,4.69,10.07,1.0,0.81,48.71,21.78,4.61,30.0,0.43,20.0,6.15,54.0,2019,,,0.0,54.01488
JSS Academy of Higher Education and Research,IR-O-U-0222,12.75,30.0,18.66,8.91,4.85,8.32,1.5,1.07,60.0,5.48,18.75,30.0,1.5,20.0,10.24,55.0,2019,,,0.0,55.002617
Tata Institute of Social Sciences,IR-O-U-0331,12.54,26.89,16.26,9.48,3.64,3.51,0.0,2.82,60.0,19.76,18.99,30.0,2.17,20.0,12.14,56.0,2019,,,0.0,55.973587
Bharath Institute of Higher Education & Research,IR-O-U-0446,13.9,30.0,16.07,8.12,7.63,5.82,4.0,0.31,60.0,4.96,21.02,30.0,1.51,20.0,3.19,57.0,2019,,,0.0,57.009724
Indian Institute of Technology Patna,IR-O-U-0064,6.72,28.79,16.9,14.52,15.02,13.49,0.5,0.78,49.88,4.49,17.69,8.1,5.64,20.0,12.45,58.0,2019,,,0.0,57.995373
Visva Bharati,IR-O-U-0589,13.07,24.53,13.5,9.55,9.89,14.97,0.0,1.21,60.0,14.79,5.03,26.14,1.22,9.0,11.52,59.0,2019,,,0.0,59.083534
G. B. Pant Universtiy of Agriculture and Technology,IR-O-U-0554,11.43,30.0,18.0,12.14,5.18,5.38,3.0,1.96,60.0,15.65,4.51,25.51,0.0,13.0,5.44,60.0,2019,,,0.0,59.993206
National Institute of Technology Warangal,IR-O-U-0025,12.5,21.38,13.98,10.02,12.43,11.13,0.5,0.65,60.0,7.97,18.91,14.85,3.69,20.0,19.51,61.0,2019,,,0.0,61.064053
North Eastern Hill University,IR-O-U-0341,12.39,27.52,16.28,11.67,6.67,6.82,0.5,0.54,58.07,17.64,10.07,29.69,0.0,15.0,6.51,62.0,2019,,,0.0,61.999123
Shanmugha Arts Science Technology & Research Academy,IR-O-U-0476,15.48,23.27,12.11,4.69,13.93,14.5,2.0,1.94,60.0,5.16,6.97,29.68,0.48,20.0,6.86,63.0,2019,,,0.0,62.971325
Sathyabama Institute of Science and Technology,IR-O-U-0474,13.44,27.24,13.02,5.47,15.94,9.75,0.5,0.96,60.0,5.86,17.86,22.41,2.83,20.0,2.41,64.0,2019,,,0.0,63.99727
Gauhati University,IR-O-U-0052,16.0,23.71,14.57,11.81,7.71,9.71,0.0,0.66,58.78,15.92,2.95,30.0,2.3,9.0,9.59,65.0,2019,,,0.0,64.98307
Indian Institute of Science Education & Research Mohali,IR-O-U-0377,8.68,26.49,16.68,14.58,11.18,12.52,1.0,0.56,38.63,6.77,24.18,23.13,3.68,20.0,17.38,66.0,2019,,,0.0,66.00384
Saveetha Institute of Medical and Technical Sciences,IR-O-I-1441,13.0,30.0,16.04,10.93,11.28,5.92,0.0,44.0,60.0,2.16,16.58,27.03,3.53,20.0,0.0,67.0,2019,,,0.0,66.981865
Tamil Nadu Agricultural University,IR-O-U-0485,10.38,30.0,18.39,15.96,3.9,4.27,1.0,2.41,52.29,17.01,1.95,29.8,2.35,11.0,11.52,68.0,2019,,,0.0,68.00125
Madurai Kamraj University,IR-O-U-0463,7.34,30.0,18.58,8.02,13.25,14.41,0.0,0.46,41.18,15.92,1.06,25.3,0.0,15.0,20.28,69.0,2019,,,0.0,69.00592
Dr. D. ¥. Patil Vidyapeeth,IR-O-I-1110,11.5,30.0,18.38,17.51,2.79,3.27,0.5,1.06,58.11,4.35,13.58,30.0,0.13,20.0,7.56,70.0,2019,,,0.0,70.00671
Delhi Technological University,IR-O-U-0098,13.36,25.29,11.82,5.52,10.54,11.41,0.5,1.89,60.0,6.89,13.22,19.65,1.75,20.0,19.51,71.0,2019,,,0.0,70.97717
Pondicherry University,IR-O-U-0369,12.49,17.67,12.06,5.7,12.48,13.82,0.0,0.33,47.09,26.21,16.05,21.81,1.43,20.0,19.25,72.0,2019,,,0.0,72.003975
Sri Venkateswara University,IR-O-U-0037,12.18,28.17,15.56,6.56,10.58,11.92,0.0,1.1,46.76,22.87,0.05,25.76,2.97,16.0,6.51,73.0,2019,,,0.0,72.9939
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),IR-O-U-0020,14.47,30.0,16.58,6.12,9.08,8.47,1.0,0.52,60.0,3.8,9.27,24.56,3.33,20.0,3.58,74.0,2019,,,0.0,73.95909
Punjab Agricultural University,IR-O-U-0381,10.17,30.0,17.65,19.14,7.61,7.45,2.0,2.67,43.37,12.85,12.23,26.86,0.85,12.0,3.19,75.0,2019,,,0.0,75.0011
PSG College of Technology,IR-O-C-37013,13.0,30.0,14.51,6.17,5.81,5.89,0.0,0.91,59.42,1.61,1.28,26.3,2.38,20.0,43.66,76.0,2019,,,0.0,76.004456
Shiv Nadar University,IR-O-U-0642,8.11,30.0,17.56,13.79,5.73,7.32,0.5,0.49,60.0,1.53,20.27,24.15,0.19,20.0,6.15,77.0,2019,,,0.0,76.99633
Sri Sivasubramaniya Nadar College of Engineering,IR-O-C-16604,11.5,27.42,15.56,7.92,12.33,9.65,0.5,49.0,60.0,3.44,3.03,26.72,3.17,20.0,7.56,78.0,2019,,,0.0,77.98116
University of Kashmir,IR-O-U-0196,14.4,23.04,14.47,7.91,7.4,9.51,0.0,1.42,60.0,19.2,0.0,27.28,0.08,20.0,1.63,79.0,2019,,,0.0,79.002335
Mysore University,IR-O-U-0235,13.36,23.53,14.21,6.2,7.16,8.2,1.5,1.29,60.0,18.43,3.41,25.55,3.71,20.0,4.7,80.0,2019,,,0.0,80.03706
Guru Nanak Dev University,IR-O-U-0376,13.79,15.25,8.63,8.83,11.37,14.5,0.5,3.01,55.13,19.59,2.14,29.34,2.54,20.0,5.8,81.0,2019,,,0.0,81.02551
Symbiosis International,IR-O-U-0329,14.5,30.0,13.52,11.99,1.69,3.66,0.5,3.58,60.0,1.03,21.97,28.47,2.44,20.0,3.19,82.0,2019,,,0.0,81.97817
"SVKM""s Narsee Monjee Institute of Management Studies",IR-O-N-10,12.73,28.58,13.84,13.69,3.06,3.45,0.5,4.67,60.0,4.22,16.17,29.03,0.01,20.0,1.22,83.0,2019,,,0.0,82.99879
Amity University,IR-O-U-0497,14.67,18.82,10.11,6.51,10.75,11.79,4.0,1.76,60.0,5.48,15.37,26.54,0.02,20.0,7.22,84.0,2019,,,0.0,84.00961
Birla Institute of Technology,IR-O-U-0202,10.72,21.89,14.03,8.08,14.91,12.06,2.0,0.5,50.86,6.11,11.71,20.23,0.94,12.0,23.47,85.0,2019,,,0.0,84.98808
Bharathidasan University,IR-O-U-0448,8.06,26.27,16.14,10.27,13.75,14.25,0.5,0.54,33.28,15.65,0.54,24.51,2.72,15.0,24.17,86.0,2019,,,0.0,85.99821
Banasthali Vidyapith,IR-O-U-0389,16.06,18.91,11.08,4.35,3.92,5.76,0.5,1.5,60.0,24.87,21.93,30.0,0.09,2.0,4.33,87.0,2019,,,0.0,86.99763
Bharati Vidyapeeth,IR-O-I-1361,17.49,25.25,14.39,6.77,3.0,4.65,1.0,2.77,51.11,13.38,11.88,27.3,1.04,20.0,13.66,88.0,2019,,,0.0,88.01476
Chaudhary Charan Singh Haryana Agricultural University,IR-O-U-0159,9.19,30.0,17.37,20.32,3.26,1096.0,0.5,1.19,50.67,5.73,2.35,20.49,6.66,20.0,2.02,89.0,2019,,,0.0,89.000145
Calicut University,IR-O-U-0251,9.43,19.66,12.71,14.52,7.38,8.5,0.5,0.07,60.0,11.53,2.09,27.5,5.87,18.0,7.22,90.0,2019,,,0.0,90.01968
College of Engineering,IR-O-C-41593,11.0,24.93,11.76,8.66,10.46,6.63,2.0,1.43,60.0,1.36,3.64,24.19,4.45,20.0,15.42,91.0,2019,,,0.0,90.99896
Datta Meghe Institute of Medical Sciences,IR-O-U-0295,9.5,30.0,19.22,16.74,1.23,0.67,1.0,0.26,58.8,1.77,9.48,30.0,0.0,20.0,0.82,92.0,2019,,,0.0,91.997955
National Institute of Technology Durgapur,IR-O-U-0577,11.16,16.81,10.88,8.21,15.19,13.37,0.0,0.4,60.0,4.01,14.48,10.77,4.45,18.0,12.14,93.0,2019,,,0.0,93.000916
Cochin University of Science and Technology,IR-O-U-0253,11.43,16.83,11.28,7.68,13.44,11.06,1.5,0.89,54.24,10.57,1.21,25.07,1.27,20.0,14.84,94.0,2019,,,0.0,94.00462
Guru Gobind Singh Indraprastha University,IR-O-U-0099,11.0,22.61,13.08,9.69,8.76,7.76,1.5,0.95,60.0,4.62,5.15,27.85,0.19,20.0,3.58,95.0,2019,,,0.0,95.020874
Anand Agricultural University,IR-O-U-0123,8.5,30.0,16.1,14.89,4.94,4.11,0.0,3.2,48.88,10.23,1.72,16.84,2.89,20.0,7.22,96.0,2019,,,0.0,96.0014
Periyar University,IR-O-U-0470,7.96,23.94,15.73,4.68,9.37,10.56,0.5,0.31,45.28,13.85,1.62,29.41,4.23,18.0,19.25,97.0,2019,,,0.0,96.98442
KLE Academy of Higher Education and Research,IR-O-U-0225,11.06,30.0,17.31,12.85,2.6,3.62,0.0,2.51,46.29,3.22,15.28,30.0,0.76,20.0,4.33,98.0,2019,,,0.0,97.99394
Tamil Nadu Veterinary & Animal Sciences University,IR-O-U-0487,7.1,30.0,16.49,17.4,3.28,2.13,1.5,1.1,60.0,2.85,2.44,25.78,5.91,10.0,2.02,99.0,2019,,,0.0,98.99266
NITTE,IR-O-U-0239,9.4,30.0,17.42,13.56,4.58,4.03,0.0,0.7,48.17,0.44,15.77,30.0,0.34,20.0,6.51,100.0,2019,,,0.0,99.98935
,,17.0,23.97,17.72,12.91,31.38,32.78,15.0,13.35,59.98,26.34,22.17,13.97,7.43,20.0,97.13,1.0,2021,Indian Institute of Technology Madras ,(IR-O-U-0456),14.0,1.015516
,,10.46,25.0,18.34,15.33,35.0,35.0,13.0,8.48,50.6,27.63,21.91,9.21,7.27,20.0,100.0,2.0,2021,Indian Institute of Science ,(IR-O-U-0220),10.0,2.0060346
,,17.0,24.33,19.52,9.67,30.47,31.93,15.0,10.4,55.83,25.03,20.23,14.86,4.38,18.0,91.96,3.0,2021,Indian Institute of Technology Bombay ,(IR-O-U-0306),13.0,3.0056026
,,17.0,24.65,18.61,11.77,31.17,32.23,11.0,10.06,52.94,22.13,25.31,18.67,3.99,20.0,93.89,4.0,2021,Indian Institute of Technology Delhi ,(IR-O-1-1074),12.0,3.9963863
,,15.7,22.03,17.12,11.65,27.24,27.0,13.0,7.99,60.0,20.74,19.7,9.0,8.28,20.0,79.3,5.0,2021,Indian Institute of Technology Kanpur ,(IR-O-1-1075),14.0,5.003162
,,16.8,19.19,15.65,7.62,28.93,32.21,6.0,9.08,55.57,27.66,19.99,10.92,4.45,20.0,82.92,6.0,2021,Indian Institute of Technology Kharagpur ,(IR-O-U-0573),15.0,5.994706
,,16.51,21.42,16.24,8.51,28.16,29.25,5.0,5.97,60.0,23.16,24.86,13.64,6.81,20.0,47.28,7.0,2021,Indian Institute of Technology Roorkee ,(IR-O-U-0560),14.0,6.992511
,,14.15,24.21,17.39,8.0,27.8,28.15,7.0,3.31,60.0,21.26,24.41,13.58,4.97,20.0,47.04,8.0,2021,Indian Institute of Technology Guwahati ,(IR-O-U-0053),10.0,7.997004
,,15.5,24.73,16.98,8.99,20.15,20.56,3.0,1.25,59.55,35.52,24.5,28.86,0.0,20.0,54.12,9.0,2021,Jawaharlal Nehru University ,(IR-O-U-0109),5.0,9.049608
,,20.0,18.56,14.88,7.06,18.18,23.64,1.0,2.17,60.0,40.0,9.61,24.23,3.28,16.0,49.38,10.0,2021,Banaras Hindu University ,(IR-O-U-0500),4.0,10.010953
,,17.52,24.21,16.02,4.95,15.86,18.04,6.0,4.03,60.0,31.72,3.98,30.0,7.0,20.0,39.68,11.0,2021,Calcutta University ,(IR-O-U-0570),3.5,11.002764
,,17.39,25.0,15.66,6.18,19.82,18.37,11.0,5.14,59.4,11.95,16.14,28.12,1.28,20.0,34.8,12.0,2021,Amrita Vishwa Vidyapeetham,(IR-O-U-0436),0.0,12.014983
,,16.0,25.0,16.01,6.44,16.6,19.93,3.0,3.9,60.0,26.67,17.4,26.59,8.36,20.0,20.25,13.0,2021,Jamia Millia Islamia,(IR-O-U-0108),3.0,13.014478
,,17.32,15.74,12.57,3.58,22.54,24.27,1.5,3.41,60.0,27.77,2.55,20.28,7.34,20.0,53.3,14.0,2021,Jadavpur University ,(IR-O-U-0575),2.5,13.993602
,,17.75,25.0,16.79,8.14,18.3,19.29,3.0,7.58,56.19,19.86,17.21,27.01,1.03,20.0,24.18,15.0,2021,Manipal Academy of Higher Education,(IR-O-U-0234),0.0,15.008962
,,8.83,25.0,16.78,10.78,21.7,22.42,5.0,3.52,60.0,7.51,17.94,15.03,5.61,20.0,49.61,16.0,2021,Indian Institute of Technology Hyderabad ,(IR-O-U-0013),0.0,16.011087
,,12.82,25.0,19.7,6.06,18.84,19.05,1.0,1.85,55.45,21.99,15.19,25.53,0.0,18.0,32.13,17.0,2021,University of Hyderabad ,(IR-O-U-0042),6.0,16.999908
,,20.0,24.09,16.79,6.18,15.84,20.94,2.0,2.08,52.81,27.25,8.37,25.84,2.72,20.0,27.0,18.0,2021,Aligarh Muslim University ,(IR-O-U-0496),2.0,17.983082
,,17.65,11.1,8.48,5.43,21.13,26.34,3.0,3.76,48.47,34.19,13.71,25.6,0.28,20.0,44.81,19.0,2021,University of Delhi ,(IR-O-U-0120),0.0,18.999575
,,13.22,19.35,13.94,8.45,18.52,19.05,2.0,3.2,60.0,26.96,3.14,25.19,2.59,20.0,16.41,20.0,2021,Savitribai Phule Pune University ,(IR-O-U-0323),8.0,20.050913
,,17.18,15.64,12.02,3.59,23.23,27.91,5.0,0.69,53.36,16.58,17.83,21.44,0.11,20.0,38.8,21.0,2021,Vellore Institute of Technology ,(IR-O-U-0490),0.0,21.019253
,,11.57,25.0,18.86,6.36,22.64,21.29,2.0,1.51,60.0,14.17,3.21,30.0,2.0,18.0,24.6,22.0,2021,Bharathiar University ,(IR-O-U-0447),0.0,22.028587
,,15.0,16.67,12.97,7.76,19.09,19.09,3.0,3.4,60.0,11.79,17.91,18.69,6.74,20.0,51.82,23.0,2021,National Institute of Technology Tiruchirapalli ,(IR-O-U-0467),0.0,23.045681
,,8.31,25.0,17.66,10.28,20.59,21.45,2.0,1.55,50.0,9.31,17.68,19.15,1.92,20.0,28.91,24.0,2021,Indian Institute of Science Education & Research Pune ,(IR-O-U-0305),6.0,24.01426
,,15.62,19.49,12.94,3.87,17.9,19.6,2.0,3.59,60.0,13.11,0.82,27.19,3.34,20.0,61.72,25.0,2021,Anna University ,(IR-O-U-0439),0.0,25.002811
,,14.02,15.24,12.52,6.4,24.74,24.98,2.5,4.42,58.55,12.6,20.35,6.71,8.09,20.0,27.0,26.0,2021,Indian Institute of Technology (Indian School of Mines),(IR-O-U-0205),0.0,26.012014
,,8.72,17.87,14.53,8.92,19.28,19.39,15.0,2.15,60.0,15.96,6.24,24.89,1.94,13.0,22.04,27.0,2021,Institute of Chemical Technology ,(IR-O-U-0308),0.0,27.008398
,,15.12,16.43,13.21,7.11,19.8,21.5,4.0,2.11,58.51,11.37,18.07,9.6,9.01,20.0,31.08,28.0,2021,Indian Institute of Technology (Banaras Hindu University)Varanasi,(IR-O-U-0701),4.0,28.008127
,,16.5,18.19,14.51,6.62,16.86,19.15,3.0,4.12,60.0,12.05,23.07,16.36,0.07,20.0,32.81,29.0,2021,Birla Institute of Technology & Science -Pilani ,(IR-O-U-0391),0.0,29.003069
,,6.89,24.68,16.65,9.29,23.66,22.78,2.0,0.81,59.81,9.89,17.98,11.44,7.18,20.0,15.91,30.0,2021,Indian Institute of Technology Indore ,(IR-O-U-0273),0.0,29.991934
,,8.79,25.0,17.57,10.4,14.35,16.31,1.5,0.75,57.93,4.12,23.95,15.12,4.82,20.0,23.76,31.0,2021,Indian Institute of Technology Ropar ,(IR-O-U-0378),11.0,30.996664
,,13.5,18.93,14.14,7.24,19.9,18.26,1.0,2.58,60.0,13.32,18.11,17.89,9.58,20.0,30.01,32.0,2021,National Institute of Technology Karnataka ,(IR-O-U-0237),0.0,31.973907
,,7.76,23.9,18.32,10.28,16.42,18.0,1.0,1.73,51.59,5.62,22.18,18.74,3.29,20.0,23.76,33.0,2021,Indian Institute of Technology Gandhinagar ,(IR-O-U-0139),11.0,33.002502
,,16.0,22.93,16.7,5.14,7.09,8.9,2.0,0.8,60.0,30.54,1.69,30.0,2.56,20.0,6.85,34.0,2021,Mysore University ,(IR-O-U-0235),8.0,34.006073
,,8.44,25.0,16.8,9.42,17.8,19.74,0.5,0.79,60.0,6.26,15.56,16.23,1.74,20.0,23.34,35.0,2021,Indian Institute of Science Education & Research Kolkata ,(IR-O-U-0572),0.0,35.072754
,,8.73,25.0,18.08,16.83,15.66,17.27,0.0,3.51,41.78,24.2,13.13,22.66,0.0,15.0,6.22,36.0,2021,Homi Bhabha National Institute ,(IR-O-U-0304),0.0,35.99485
,,16.22,25.0,15.33,7.35,11.03,13.58,4.0,1.31,60.0,11.34,15.07,30.0,0.83,20.0,13.28,37.0,2021,Siksha 'O' Anusandhan,(IR-O-U-0363),0.0,37.0769
,,15.99,13.27,10.17,4.45,15.22,22.39,2.0,1.25,44.67,26.9,12.67,25.36,0.47,15.0,37.31,38.0,2021,Panjab University ,(IR-O-U-0078),5.0,37.98746
,,19.0,24.62,17.25,15.3,9.41,12.19,3.0,3.18,60.0,10.0,24.92,30.0,3.5,20.0,11.06,39.0,2021,Kalinga Institute of Industrial Technology ,(IR-O-U-0356),0.0,38.999557
,,8.33,24.55,18.62,8.92,15.0,15.15,1.0,0.71,54.38,5.2,21.85,23.99,5.81,20.0,22.04,40.0,2021,"Indian Institute of Science Education & Research, Mohali ",(IR-O-U-0377),2.0,40.02913
,,14.86,16.1,13.2,5.05,22.46,23.1,1.5,1.24,50.98,14.34,14.94,12.28,4.44,20.0,17.89,41.0,2021,National Institute of Technology Rourkela ,(IR-O-U-0357),0.0,41.003277
,,15.15,24.13,15.25,4.06,15.22,17.03,1.5,4.53,60.0,6.3,9.22,27.86,0.7,20.0,10.48,42.0,2021,Shanmugha Arts Science Technology & Research Academy,(IR-O-U-0476),0.0,42.049484
,,16.7,17.18,11.51,3.59,14.26,15.8,9.0,4.22,60.0,7.55,14.87,29.55,0.24,20.0,12.18,43.0,2021,Amity University ,(IR-O-U-0497),0.0,43.015125
,,11.5,25.0,16.12,12.15,9.13,10.15,0.0,0.65,60.0,29.11,15.3,30.0,0.0,20.0,49.1,44.0,2021,Kerala University ,(IR-O-U-0260),0.0,44.028286
,,13.88,17.42,13.18,5.96,17.96,21.59,2.0,0.71,60.0,7.3,14.61,20.95,0.79,20.0,19.32,45.0,2021,Thapar Institute of Engineering and Technology ,(IR-O-I-1480),0.0,45.017784
,,11.07,18.68,13.63,5.7,19.38,17.48,1.0,1.14,57.54,14.11,12.07,14.79,3.36,20.0,27.77,46.0,2021,Indian Institute of Engineering Science and Technology ,(IR-O-U-0584),2.5,46.03432
,,10.53,24.51,17.35,4.96,14.63,13.77,2.0,1.42,52.03,14.4,4.39,29.49,0.0,20.0,20.25,47.0,2021,University of Madras ,(IR-O-I-1357),4.0,47.01042
,,15.96,16.4,12.83,8.35,10.27,9.6,0.5,5.22,60.0,25.84,41.51,29.32,3.62,20.0,18.37,48.0,2021,"Andhra University, Visakhapatnam ",(IR-O-U-0006),1.5,48.000233
,,14.04,25.0,17.94,4.8,14.44,12.97,4.5,2.37,60.0,4.91,14.0,28.31,3.68,20.0,2.18,49.0,2021,Saveetha Institute of Medical and Technical Sciences ,(IR-O-I-1441),0.0,49.006348
,,8.62,23.48,17.11,9.57,14.08,15.29,0.5,1.03,57.82,5.67,23.44,19.67,3.51,20.0,8.1,50.0,2021,Indian Institute of Science Education & Research Bhopal ,(IR-O-U-0272),5.0,50.00148
,,7.11,22.73,16.85,9.35,18.39,16.47,1.5,0.66,52.11,5.48,16.76,9.66,7.52,20.0,16.41,51.0,2021,Indian Institute of Technology Patna ,(IR-O-U-0064),4.0,50.99829
