Institute Name,Institute Code,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank,Year,Institution Name,Institution Code,OE,Predicted_Rank
,,7.61,21.81,14.93,12.91,15.48,15.71,1.0,2.53,58.98,9.79,0.6,30.0,1.95,20.0,4.24,52.0,2021,Mahatma Gandhi University ,(IR-O-U-0262),2.0,52.010143
,,16.43,18.01,10.92,4.58,13.01,18.21,6.0,1.86,60.0,8.47,15.51,22.29,0.8,20.0,10.48,53.0,2021,S.R.M. Institute of Science and Technology ,(IR-O-U-0473),0.0,53.002655
,,11.89,18.27,13.98,5.71,15.27,15.29,4.0,2.75,60.0,8.93,13.78,18.15,3.18,20.0,15.39,54.0,2021,Visvesvaraya National Institute of Technology ,(IR-O-U-0334),0.0,54.009624
,,15.43,25.0,10.29,3.8,10.87,14.49,2.0,2.45,60.0,5.95,17.16,20.37,1.72,20.0,25.82,55.0,2021,Delhi Technological University ,(IR-O-U-0098),0.0,55.00124
,,13.0,25.0,17.74,7.3,4.48,10.63,2.0,2.28,60.0,6.7,17.16,30.0,2.88,20.0,18.85,56.0,2021,JSS Academy of Higher Education and Research,(IR-O-U-0222),0.0,56.05633
,,11.13,25.0,18.27,4.31,11.44,14.65,0.0,1.23,58.28,9.16,0.33,30.0,1.35,20.0,23.34,57.0,2021,Alagappa University ,(IR-O-U-0435),0.0,56.997578
,,7.6,19.9,16.48,7.75,17.63,18.25,1.0,0.96,58.27,4.37,22.49,10.65,1.87,20.0,18.85,58.0,2021,Indian Institute of Technology Bhubaneswar ,(IR-O-U-0355),0.0,57.999863
,,15.0,16.86,13.46,5.29,15.01,14.72,0.0,1.32,60.0,10.32,17.45,14.88,4.04,20.0,25.01,59.0,2021,National Institute of Technology Warangal ,(IR-O-U-0025),0.0,58.994213
,,8.27,25.0,13.54,17.58,11.38,11.54,3.0,1.31,60.0,2.97,5.19,30.0,2.38,20.0,8.1,60.0,2021,King George's Medical University ,(IR-O-U-0523),0.0,60.014233
,,12.94,23.88,14.11,3.13,12.12,12.48,8.0,1.4,60.0,4.82,16.85,24.78,3.05,20.0,7.48,61.0,2021,Sathyabama Institute of Science and Technology ,(IR-O-U-0474),0.0,61.02196
,,17.0,14.89,11.03,7.12,10.12,11.3,0.5,6.24,60.0,19.86,0.22,27.74,5.67,18.0,13.82,62.0,2021,Osmania University ,(IR-O-U-0027),2.0,62.00273
,,12.84,25.0,15.69,5.23,4.27,5.61,1.0,4.82,60.0,21.28,6.13,30.0,0.0,20.0,5.57,63.0,2021,Gujarat University ,(IR-O-U-0136),6.0,62.989254
,,13.97,22.44,15.74,5.68,10.6,13.58,1.0,2.44,60.0,9.75,13.8,28.01,0.83,18.0,8.1,64.0,2021,Jamia Hamdard,(IR-O-U-0107),0.0,64.010635
,,11.9,20.51,15.96,6.0,14.78,12.71,1.0,1.14,60.0,10.28,1.16,30.0,1.54,20.0,14.88,65.0,2021,Cochin University of Science and Technology ,(IR-O-U-0253),0.0,65.11244
,,16.5,18.18,12.59,2.92,4.81,7.54,0.0,1.87,60.0,23.55,24.55,30.0,1.44,20.0,10.48,66.0,2021,Banasthali Vidyapith,(IR-O-U-0389),4.0,66.00351
,,16.0,18.09,14.51,6.57,7.47,9.79,0.5,1.29,60.0,23.56,4.62,30.0,3.78,20.0,10.48,67.0,2021,Gauhati University ,(IR-O-U-0052),0.0,67.0482
,,15.5,25.0,12.66,7.67,3.37,6.98,2.5,5.65,60.0,4.52,20.18,29.23,2.75,20.0,14.35,68.0,2021,Symbiosis International,(IR-O-U-0329),0.0,68.01085
,,14.27,25.0,17.18,2.44,14.96,14.25,1.0,0.57,60.0,4.62,10.7,25.04,0.25,20.0,2.18,69.0,2021,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),(IR-O-U-0020),0.0,69.0
,,10.43,25.0,17.29,6.48,4.24,4.28,0.0,3.8,60.0,17.33,18.72,30.0,3.56,20.0,8.71,70.0,2021,Tata Institute of Social Sciences ,(IR-O-U-0331),2.0,69.98767
,,10.28,19.1,15.5,5.63,16.91,15.61,1.0,0.74,60.0,6.66,14.27,12.87,9.01,20.0,9.9,71.0,2021,National Institute of Technology Durgapur ,(IR-O-U-0577),0.0,71.01079
,,11.67,24.9,14.15,5.41,16.03,16.85,1.0,1.24,49.37,8.2,11.28,20.62,6.49,20.0,5.57,72.0,2021,Malaviya National Institute of Technology ,(IR-O-U-0410),0.0,72.00583
,,11.33,21.92,16.57,4.5,12.82,14.1,2.0,1.11,54.43,7.21,4.31,26.5,1.35,20.0,11.62,73.0,2021,Tezpur University ,(IR-O-U-0056),4.0,73.019196
,,12.63,25.0,15.75,3.37,8.01,10.45,1.0,2.35,60.0,5.2,14.93,30.0,8.13,20.0,11.62,74.0,2021,Kalasalingam Academy of research and Higher Education,(IR-O-U-0458),0.0,73.99961
,,13.52,23.53,14.46,3.9,8.08,9.37,5.0,1.95,60.0,7.59,15.65,28.91,3.38,20.0,5.57,75.0,2021,Bharath Institute of Higher Education & Research ,(IR-O-U-0446),0.0,75.023224
,,16.0,19.86,15.38,4.25,7.35,10.3,0.0,1.86,60.0,17.03,0.0,29.26,0.86,20.0,2.18,76.0,2021,University of Kashmir ,(IR-O-U-0196),5.0,75.99284
,,16.49,25.0,12.49,3.5,1.51,3.43,6.0,3.3,60.0,3.4,23.36,28.62,3.47,20.0,28.91,77.0,2021,Chandigarh University ,(IR-O-U-0747),0.0,77.00267
,,11.47,23.88,14.73,4.31,11.22,12.52,1.0,0.49,60.0,4.17,14.13,21.67,7.96,20.0,14.35,78.0,2021,Dr. B. R. Ambedkar National Institute of Technology ,(IR-O-U-0374),0.0,78.003975
,,12.08,25.0,17.73,10.01,4.91,9.16,2.0,1.83,55.79,5.34,11.27,30.0,3.45,20.0,7.48,79.0,2021,Sri Ramachandra Institute of Higher Education and Research ,(IR-O-I-1486),0.0,78.979324
,,10.72,25.0,18.83,10.6,3.81,8.32,0.5,1.82,60.0,3.29,11.54,30.0,0.02,20.0,14.88,80.0,2021,Dr. D. Y. Patil Vidyapeeth,(IR-O-I-1110),0.0,80.05481
,,17.42,17.78,9.5,2.85,7.47,10.98,6.0,3.06,60.0,3.87,22.99,2154.0,1.44,20.0,20.7,81.0,2021,Lovely Professional University ,,0.0,80.99195
,,7.27,17.12,13.77,8.89,15.16,14.77,0.0,0.67,56.4,4.87,21.86,16.24,3.97,20.0,12.73,82.0,2021,Indian Institute of Technology Mandi ,(IR-O-U-0184),3.0,81.994095
,,7.64,25.0,18.88,5.19,10.98,13.36,0.0,0.43,47.53,10.14,1.98,26.45,0.0,20.0,14.35,83.0,2021,Madurai Kamaraj University ,(IR-O-U-0463),5.0,83.00141
,,6.85,25.0,19.64,8.01,7.39,9.03,1.0,1.94,60.0,3.5,15.28,23.38,0.47,20.0,13.28,84.0,2021,Shiv Nadar University ,(IR-O-U-0642),0.0,84.00552
,,14.07,13.32,8.8,4.59,9.87,14.09,0.5,4.16,60.0,16.11,2.81,29.43,1.53,20.0,17.89,85.0,2021,Guru Nanak Dev University ,(IR-O-U-0376),0.0,84.99735
,,12.93,24.81,14.31,3.33,6.27,8.21,3.0,0.65,56.73,1.96,1.51,26.25,2.41,20.0,43.26,86.0,2021,PSG College of Technology ,(IR-O-C-37013),0.0,86.022835
,,13.04,13.12,10.54,3.23,13.45,15.23,1.0,0.43,48.67,23.74,14.06,22.52,1.6,20.0,17.89,87.0,2021,Pondicherry University ,(IR-O-U-0369),0.0,87.00327
,,13.07,16.4,12.77,5.62,13.2,13.75,0.5,1.04,59.76,7.92,13.08,13.19,8.5,20.0,11.06,88.0,2021,Motilal Nehru National Institute of Technology ,(IR-O-U-0530),0.0,88.00456
,,12.5,21.57,14.8,4.48,14.15,12.56,1.0,1.31,55.3,4.12,3.57,26.19,3.86,20.0,9.9,89.0,2021,Sri Sivasubramaniya Nadar College of Engineering ,(IR-O-C-16604),0.0,88.99683
,,12.14,21.06,15.35,6.97,7.51,8.2,0.0,0.6,58.21,16.41,6.83,29.81,0.0,15.0,11.62,90.0,2021,North Eastern Hill University ,(IR-O-U-0341),0.0,90.015434
,,8.57,22.58,17.09,6.5,13.65,14.78,1.0,0.49,41.68,11.98,0.91,26.74,4.16,16.0,18.85,91.0,2021,Bharathidasan University ,(IR-O-U-0448),0.0,91.01605
,,12.7,21.25,13.83,3.43,7.97,10.66,0.0,1.24,58.91,20.29,1.78,26.53,4.3,18.0,5.57,92.0,2021,Sri Venkateswara University ,(IR-O-U-0037),0.0,91.984886
,,10.11,18.11,14.45,4.61,15.13,14.96,2.0,0.22,57.87,6.3,12.95,14.35,5.54,20.0,6.85,93.0,2021,National Institute of Technology Silchar ,(IR-O-U-0055),0.0,92.997696
,,13.67,25.0,15.01,7.63,3.44,5.87,1.0,4.46,60.0,3.13,13.88,27.04,0.0,20.0,4.24,94.0,2021,SVKM's Narsee Monjee Institute of Management Studies ,(IR-O-N-10),2.0,93.97232
,,8.71,25.0,16.46,9.15,7.59,9.0,0.0,0.05,50.5,12.82,0.32,30.0,6.45,18.0,2.88,95.0,2021,Calicut University ,(IR-O-U-0251),4.0,94.99823
,,15.42,14.55,9.85,6.77,6.88,8.12,2.0,2.08,60.0,18.35,2.76,22.44,2.58,20.0,7.48,96.0,2021,Mumbai University ,(IR-O-U-0318),3.0,95.99231
,,13.97,16.51,11.13,5.39,9.61,14.29,1.0,1.25,60.0,13.81,2.4,24.07,1.11,9.0,6.22,97.0,2021,Visva Bharati,(IR-O-U-0589),2.5,96.9931
,,12.73,16.82,11.54,4.23,13.0,13.87,1.0,1.41,59.05,5.44,14.18,19.52,3.33,20.0,7.48,98.0,2021,Sardar Vallabhbhai National Institute of Technology ,(IR-O-U-0149),0.0,97.989876
,,10.34,17.13,12.15,6.0,10.49,10.42,0.0,1.73,60.0,4.22,5.23,27.01,0.21,20.0,21.15,99.0,2021,Guru Gobind Singh Indraprastha University ,(IR-O-U-0099),2.5,98.991
,,10.81,25.0,18.96,9.3,2.02,3.98,3.0,1.35,57.1,2.97,14.12,30.0,2.06,20.0,1.46,100.0,2021,Datta Meghe Institute of Medical Sciences ,(IR-O-U-0295),0.0,99.97898
,,13.170000000000002,24.21,15.735,9.870000000000001,14.68,15.29,1.0,1.5150000000000001,60.0,12.905000000000001,14.934999999999999,25.685000000000002,2.8449999999999998,20.0,,50.5,2021, ,,0.0,50.499435
,,17.0,22.41,16.58,17.57,31.77,32.66,15.0,12.55,59.98,29.38,21.98,13.06,7.91,20.0,98.75,1.0,2022,Indian Institute of Technology Madras ,(IR-O-U-0456),13.0,0.9919111
,,11.0,25.0,18.11,19.97,35.0,34.86,9.0,8.59,54.4,30.39,24.46,9.77,3.22,20.0,100.0,2.0,2022,Indian Institute of Science ,(IR-O-U-0220),8.0,1.9989264
,,17.0,25.0,18.1,14.45,30.42,31.72,13.0,8.95,56.79,26.28,20.02,14.86,4.65,20.0,88.8,3.0,2022,"Indian Institute of Technology, Bombay ",(IR-O-U-0306),11.0,2.9965365
,,17.0,22.43,17.48,16.07,31.16,32.62,13.0,8.03,55.05,24.31,24.4,17.72,7.95,20.0,93.08,4.0,2022,"Indian Institute of Technology, Delhi ",(IR-O-I-1074),9.0,3.989889
,,17.0,22.46,18.31,16.14,27.49,27.21,9.0,6.84,60.0,23.89,22.2,10.19,7.87,20.0,77.86,5.0,2022,Indian Institute of Technology Kanpur ,(IR-O-I-1075),13.0,5.0027456
,,16.67,18.98,15.64,11.36,29.18,32.46,7.0,7.02,50.85,31.08,19.72,11.33,4.8,20.0,79.82,6.0,2022,"Indian Institute of Technology, Kharagpur ",(IR-O-U-0573),15.0,6.0000143
,,16.64,19.98,15.43,12.17,28.1,29.34,4.0,5.59,60.0,24.42,24.91,12.8,6.65,20.0,48.84,7.0,2022,"Indian Institute of Technology, Roorkee ",(IR-O-U-0560),13.0,7.0253725
,,15.44,23.23,15.54,12.09,28.27,28.31,3.0,3.96,60.0,23.26,24.07,13.61,1.9,20.0,45.93,8.0,2022,Indian Institute of Technology Guwahati ,(IR-O-U-0053),12.0,8.008745
,,10.05,25.0,18.52,20.0,30.25,26.57,1.0,2.57,60.0,12.67,21.37,26.0,0.0,20.0,75.15,9.0,2022,"All India Institute of Medical Sciences, Delhi",(IR-O-N-15),2.0,9.0035925
,,14.92,24.27,17.07,12.18,20.62,21.85,2.0,1.09,55.27,40.0,22.88,27.4,0.0,20.0,59.19,10.0,2022,Jawaharlal Nehru University ,(IR-O-U-0109),3.5,9.991753
,,20.0,20.31,16.04,10.56,18.12,23.81,0.5,1.48,60.0,37.74,8.56,26.48,2.29,20.0,53.95,11.0,2022,Banaras Hindu University ,(IR-O-U-0500),3.0,10.997498
,,17.25,20.85,16.35,7.62,23.28,24.43,1.5,4.51,60.0,30.1,4.89,23.52,8.45,20.0,49.53,12.0,2022,Jadavpur University ,(IR-O-U-0575),1.5,12.011476
,,16.0,25.0,16.01,9.66,18.58,22.12,3.0,3.68,60.0,32.46,22.35,29.84,8.95,20.0,23.57,13.0,2022,"Jamia Millia Islamia, New Delhi",(IR-O-U-0108),1.5,12.985815
,,10.15,25.0,17.89,14.4,23.13,22.86,4.0,3.19,60.0,11.53,17.84,15.91,2.99,20.0,49.01,14.0,2022,Indian Institute of Technology Hyderabad ,(IR-O-U-0013),6.0,14.000462
,,17.97,24.21,17.27,8.01,16.14,18.51,1.5,4.7,60.0,35.48,4.61,30.0,7.28,20.0,37.86,15.0,2022,Calcutta University ,(IR-O-U-0570),0.0,15.009662
,,18.0,25.0,15.99,10.81,20.35,19.0,6.0,4.7,60.0,14.09,20.8,27.77,0.96,20.0,38.09,16.0,2022,Amrita Vishwa Vidyapeetham,(IR-O-U-0436),0.0,16.015516
,,17.56,25.0,16.55,11.42,19.62,21.76,3.0,6.68,57.95,20.2,16.85,26.98,0.98,20.0,26.37,17.0,2022,"Manipal Academy of Higher Education,Manipal",(IR-O-U-0234),0.0,16.997606
,,18.55,16.21,12.69,5.27,23.35,28.9,7.0,0.58,58.5,20.93,16.91,22.05,0.11,20.0,45.74,18.0,2022,Vellore Institute of Technology ,(IR-O-U-0490),0.0,17.99334
,,17.17,24.59,17.23,9.22,17.09,22.36,1.5,2.09,56.54,32.38,7.93,25.39,2.98,20.0,27.85,19.0,2022,Aligarh Muslim University ,(IR-O-U-0496),1.0,18.98657
,,13.44,25.0,19.84,9.16,19.16,19.34,0.0,1.68,60.0,23.97,16.59,26.91,0.0,20.0,31.99,20.0,2022,University of Hyderabad ,(IR-O-U-0042),3.5,20.011568
,,15.0,19.22,15.52,10.99,20.72,20.76,2.0,2.24,60.0,15.74,17.77,21.36,7.34,20.0,52.2,21.0,2022,"National Institute of Technology, Tiruchirapalli ",(IR-O-U-0467),0.0,21.01992
,,15.07,18.98,12.75,6.53,21.36,24.34,4.0,3.45,59.2,15.77,0.7,25.19,3.4,20.0,62.1,22.0,2022,Anna University ,(IR-O-U-0439),0.0,21.985
,,17.66,9.7,7.6,8.14,21.29,26.13,2.5,2.9,54.23,37.63,14.7,23.85,0.32,20.0,45.93,23.0,2022,University of Delhi ,(IR-O-U-0120),0.0,22.983675
,,11.77,25.0,18.66,8.54,21.82,20.89,0.5,1.45,60.0,18.31,6.28,30.0,7.68,20.0,26.97,24.0,2022,Bharathiar University ,(IR-O-U-0447),0.0,23.974752
,,13.79,18.54,13.54,11.79,18.74,19.83,0.5,2.58,60.0,32.44,3.55,25.54,2.98,20.0,16.97,25.0,2022,Savitribai Phule Pune University ,(IR-O-U-0323),6.0,24.970804
,,8.61,25.0,17.29,13.76,20.61,20.64,1.0,1.93,52.88,12.55,18.72,22.47,1.76,20.0,27.85,26.0,2022,"Indian Institute of Science Education & Research, Pune ",(IR-O-U-0305),7.0,26.021149
,,15.0,18.51,14.35,11.45,20.71,18.92,3.0,2.51,60.0,15.55,17.74,16.32,10.39,20.0,38.54,27.0,2022,"National Institute of Technology Karnataka, Surathkal ",(IR-O-U-0237),0.0,26.976126
,,9.23,19.59,15.86,12.59,18.82,18.92,11.0,1.64,60.0,19.61,6.57,25.02,2.92,20.0,18.45,28.0,2022,Institute of Chemical Technology ,(IR-O-U-0308),2.0,28.015713
,,15.1,15.05,12.38,9.9,21.4,23.19,3.5,2.22,60.0,14.26,17.76,9.99,8.89,20.0,39.21,29.0,2022,Indian Institute of Technology (Banaras Hindu University) Varanasi ,(IR-O-U-0701),2.0,29.018946
,,17.07,25.0,15.26,10.98,14.32,15.64,3.0,2.61,60.0,13.45,17.17,30.0,1.23,20.0,27.26,30.0,2022,Siksha 'o' Anusandhan,(IR-O-U-0363),0.0,29.890041
,,7.87,25.0,16.88,12.71,24.32,23.65,1.0,0.95,60.0,12.44,18.27,11.56,3.16,20.0,16.21,31.0,2022,Indian Institute of Technology Indore ,(IR-O-U-0273),0.0,30.990057
,,17.5,17.86,14.14,9.77,18.61,21.81,3.0,3.33,60.0,13.45,22.82,15.87,0.06,20.0,27.26,32.0,2022,Birla Institute of Technology & Science - Pilani,(IR-O-U-0391),0.0,31.99827
,,10.09,25.0,17.86,19.56,19.3,19.9,2.5,3.55,42.26,26.67,14.33,22.68,0.0,15.0,5.31,33.0,2022,Homi Bhabha National Institute ,(IR-O-U-0304),0.0,33.0001
,,19.0,25.0,18.0,7.0,10.72,14.34,3.0,2.14,60.0,15.13,24.59,30.0,3.27,20.0,17.71,34.0,2022,Kalinga Institute of Industrial Technology ,(IR-O-U-0356),0.0,34.014385
,,8.82,25.0,17.86,14.51,15.97,15.52,1.0,1.17,60.0,5.71,23.77,14.67,5.89,20.0,20.57,35.0,2022,Indian Institute of Technology Ropar ,(IR-O-U-0378),9.0,34.975697
,,16.93,19.51,12.15,7.32,16.02,20.99,7.0,1.27,60.0,11.41,16.38,25.09,1.07,20.0,25.15,36.0,2022,S.R.M. Institute of Science and Technology ,(IR-O-U-0473),2.0,36.01659
,,9.0,23.15,17.46,14.29,18.43,17.97,1.0,1.65,56.02,9.82,22.45,19.54,4.5,20.0,20.23,37.0,2022,"Indian Institute of Technology, Gandhinagar ",(IR-O-U-0139),4.0,36.98218
,,12.39,15.73,13.0,9.95,25.18,25.29,1.5,2.69,56.08,15.71,19.15,7.46,7.73,20.0,23.57,38.0,2022,Indian Institute of Technology (Indian School of Mines) ,(IR-O-U-0205),0.0,37.99304
,,15.9,18.29,14.97,7.69,23.0,23.54,1.5,1.05,52.74,15.96,15.95,14.5,6.46,20.0,18.08,39.0,2022,National Institute of Technology Rourkela,(IR-O-U-0357),2.5,38.997623
,,7.93,25.0,17.38,13.25,18.44,19.12,1.0,0.86,57.11,9.09,16.19,18.71,1.69,20.0,25.46,40.0,2022,"Indian Institute of Science Education & Research, Kolkata ",(IR-O-U-0572),0.0,39.97704
,,16.22,12.69,9.9,6.62,15.75,23.22,3.0,1.21,43.8,30.82,13.8,26.08,0.85,20.0,27.56,41.0,2022,Panjab University ,(IR-O-U-0078),3.0,41.009617
,,16.82,16.02,11.21,5.52,15.88,18.67,10.0,3.33,60.0,10.35,15.01,28.85,3.1,20.0,13.43,42.0,2022,Amity University ,(IR-O-U-0497),0.0,41.995274
,,7.02,22.09,17.96,13.22,18.22,16.37,2.0,0.67,57.34,8.22,21.43,18.67,6.91,20.0,12.18,43.0,2022,"Indian Institute of Technology, Mandi ",(IR-O-U-0184),2.5,43.00477
,,15.5,17.85,14.77,8.16,20.92,16.36,3.5,2.22,60.0,9.46,14.62,27.22,4.13,20.0,5.31,44.0,2022,Saveetha Institute of Medical and Technical Sciences ,(IR-O-I-1441),0.0,44.011894
,,15.0,18.39,14.81,9.53,16.35,16.18,1.5,1.19,60.0,13.48,16.57,14.32,4.25,20.0,25.15,45.0,2022,National Institute of Technology Warangal ,(IR-O-U-0025),0.0,45.028763
,,16.72,17.16,12.68,11.67,10.51,11.7,1.5,6.71,60.0,19.98,1.79,28.95,7.63,18.0,17.71,46.0,2022,Osmania University ,(IR-O-U-0027),2.0,46.00626
,,8.63,22.94,17.56,12.21,15.45,15.25,0.5,0.88,54.87,8.02,23.14,24.27,4.03,20.0,20.57,47.0,2022,"Indian Institute of Science Education & Research, Mohali ",(IR-O-U-0377),2.5,47.00797
,,17.87,25.0,14.41,5.76,3.12,5.99,9.0,4.05,60.0,9.27,25.19,30.0,3.44,20.0,31.19,48.0,2022,Chandigarh University ,(IR-O-U-0747),0.0,47.994476
,,15.06,23.86,15.39,7.03,15.37,17.92,1.0,3.94,60.0,7.66,11.68,27.52,5.5,20.0,9.57,49.0,2022,Shanmugha Arts Science Technology & Research Academy,(IR-O-U-0476),0.0,48.953426
,,13.31,24.92,15.88,5.99,9.36,12.39,2.5,2.22,60.0,11.2,17.48,30.0,7.23,20.0,22.92,50.0,2022,Kalinga Institute of Industrial Technology ,(IR-O-U-0458),0.0,49.980286
,,7.41,24.14,16.01,16.61,16.05,16.33,1.0,2.79,58.15,12.32,0.78,30.0,4.0,20.0,2.74,51.0,2022,"Mahatma Gandhi University, Kottayam ",(IR-O-U-0262),1.0,51.0069
,,10.48,23.79,16.94,12.02,9.23,10.27,0.0,0.8,60.0,34.4,1.07,30.0,0.0,20.0,2.21,52.0,2022,Kerala University ,(IR-O-U-0260),2.0,51.993847
,,11.63,25.0,18.36,6.68,13.84,16.8,1.0,0.99,60.0,12.21,0.73,30.0,0.83,20.0,18.45,53.0,2022,Alagappa University ,(IR-O-U-0435),0.0,53.020466
,,8.5,25.0,17.47,17.2,14.41,11.34,0.0,0.36,60.0,3.63,19.77,27.57,0.83,20.0,18.81,54.0,2022,Jawaharlal Institute of Post Graduate Medical Education & Research ,(IR-O-U-0368),0.0,54.024246
,,14.95,25.0,17.25,4.02,17.07,15.51,3.5,0.55,60.0,7.04,10.96,25.6,0.26,20.0,12.6,55.0,2022,Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,(IR-O-U-0020),0.0,54.970665
,,16.0,22.17,17.11,7.61,6.8,9.43,0.0,0.58,60.0,30.68,15.8,30.0,2.21,20.0,4.8,56.0,2022,Mysore University ,(IR-O-U-0235),6.0,55.996117
,,13.86,15.12,12.09,8.79,18.92,23.19,2.0,0.71,60.0,10.57,14.32,19.99,0.79,20.0,16.21,57.0,2022,Thapar Institute of Engineering and Technology ,(IR-O-I-1480),0.0,57.001926
,,17.85,22.87,11.49,4.19,10.1,15.05,7.0,2.57,60.0,6.11,23.78,22.02,3.53,20.0,20.57,58.0,2022,Lovely Professional University ,(IR-O-U-0379),0.0,57.99786
,,8.26,20.28,15.49,12.02,19.87,17.77,1.0,0.67,54.33,7.92,17.39,9.37,5.22,20.0,14.24,59.0,2022,"Indian Institute of Technology, Patna ",(IR-O-U-0064),6.0,59.006
,,14.0,25.0,17.52,11.6,6.64,11.3,1.5,1.97,60.0,9.04,15.93,30.0,3.44,20.0,16.97,60.0,2022,JSS Academy of higher Education and Research,(IR-O-U-0222),0.0,59.99427
,,8.6,22.58,17.09,13.48,14.13,14.15,0.0,0.9,57.63,7.2,23.23,20.04,3.57,20.0,8.66,61.0,2022,Indian Institute of Science Education & Research Bhopal ,(IR-O-U-0272),5.0,61.019745
,,14.97,24.1,14.99,11.57,4.24,7.76,1.5,4.3,60.0,14.9,16.46,28.32,1.78,20.0,25.46,62.0,2022,Symbiosis international,(IR-O-U-0329),0.0,62.027107
,,15.73,25.0,11.02,6.18,13.07,17.11,0.5,1.78,60.0,6.55,14.71,20.67,1.96,20.0,28.71,63.0,2022,Delhi Technological University ,(IR-O-U-0098),0.0,63.014286
,,16.0,18.77,14.66,9.99,8.82,10.67,1.0,1.17,60.0,29.82,4.71,30.0,3.49,20.0,8.66,64.0,2022,Gauhati University ,(IR-O-U-0052),0.0,63.967983
,,9.12,18.67,15.14,10.93,18.18,18.51,0.5,1.01,58.74,6.71,23.28,10.48,6.69,20.0,16.97,65.0,2022,Indian Institute of Technology Bhubaneswar ,(IR-O-U-0355),0.0,65.00149
,,11.42,16.55,12.12,8.43,19.79,17.76,0.5,1.3,56.18,14.26,11.12,13.85,3.29,20.0,27.26,66.0,2022,"Indian Institute of Engineering Science and Technology, Shibpur ",(IR-O-U-0584),1.5,65.990135
,,13.11,24.33,14.44,5.11,13.1,14.01,1.5,1.26,60.0,5.82,16.51,26.07,2.48,20.0,23.57,67.0,2022,Sathyabama Institute of Science and Technology ,(IR-O-U-0474),0.0,66.942955
,,11.8,18.11,14.4,9.22,15.84,15.25,6.0,2.19,60.0,10.53,13.51,17.75,3.35,20.0,6.29,68.0,2022,"Visvesvaraya National Institute of Technology, Nagpur ",(IR-O-U-0334),0.0,68.01589
,,12.0,20.28,16.01,8.77,15.98,13.78,1.5,1.31,60.0,13.37,0.87,30.0,0.76,20.0,13.02,69.0,2022,Cochin University of Science and Technology ,(IR-O-U-0253),0.0,68.95853
,,11.35,21.57,16.16,7.5,15.42,15.19,0.5,1.23,54.93,16.36,3.28,29.13,0.0,20.0,18.45,70.0,2022,University of Madras ,(IR-O-I-1357),0.0,70.02738
,,15.0,14.81,11.92,12.32,10.46,10.28,1.0,4.07,60.0,25.7,1.19,28.21,4.34,20.0,15.04,71.0,2022,"Andhra University, Visakhapatnam ",(IR-O-U-0006),0.0,70.99923
,,11.8,18.35,14.94,8.86,17.21,16.23,1.0,0.72,60.0,10.09,14.2,12.96,9.98,20.0,14.24,72.0,2022,National Institute of Technology Durgapur ,(IR-O-U-0577),0.0,71.98913
,,12.94,25.0,15.84,8.98,5.28,6.79,1.5,4.81,60.0,23.3,7.39,30.0,0.0,20.0,3.78,73.0,2022,Gujarat University ,(IR-O-U-0136),2.0,73.00741
,,14.39,20.27,14.44,7.83,12.21,15.34,0.5,2.1,60.0,10.35,14.03,28.34,0.56,18.0,12.18,74.0,2022,Jamia Hamdard,(IR-O-U-0107),0.0,74.02965
